ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_SEC,NUM_BUREAU,NB_PROCURATION,NB_INSCRIT,NB_EMARGEMENT,NB_VOTANT,NB_VOTE_BLANC,NB_VOTE_NUL,NB_EXPRIME,ARTHAUD Nathalie,ROUSSEL Fabien,MACRON Emmanuel,LASSALLE Jean,LE PEN Marine,ZEMMOUR Eric,MELENCHON Jean-Luc,HIDALGO Anne,JADOT Yannick,PECRESSE Valerie,POUTOU Philippe,DUPONT-AIGNAN Nicolas,lat,lon
14-51,Présidentielle,2022,1,2022-04-10,10,56,14,14,51,31.0,1433.0,1097.0,1097,9.0,5.0,1083.0,4,20.0,350.0,13.0,97.0,89.0,351.0,28.0,57.0,56,3.0,15.0,48.8316583263911,2.3125137171547183
19-9,Présidentielle,2022,1,2022-04-10,16,76,19,19,9,60.0,1745.0,1334.0,1335,15.0,7.0,1313.0,7,34.0,308.0,6.0,53.0,68.0,645.0,24.0,95.0,48,9.0,16.0,48.875668058459084,2.3747581751946716
13-23,Présidentielle,2022,1,2022-04-10,09,50,13,13,23,45.0,1485.0,1151.0,1151,16.0,8.0,1127.0,8,20.0,277.0,15.0,88.0,64.0,503.0,24.0,71.0,39,5.0,13.0,48.82500420826385,2.3683967649508553
8-5,Présidentielle,2022,1,2022-04-10,01,32,08,08,5,104.0,1655.0,1391.0,1392,12.0,7.0,1373.0,0,6.0,681.0,18.0,47.0,168.0,149.0,10.0,86.0,186,5.0,17.0,48.879414836656586,2.3198733957822824
19-65,Présidentielle,2022,1,2022-04-10,17,73,19,19,65,66.0,1547.0,1145.0,1145,11.0,1.0,1133.0,4,22.0,300.0,9.0,61.0,115.0,429.0,31.0,88.0,57,8.0,9.0,48.88856038469009,2.3818753499598504
20-70,Présidentielle,2022,1,2022-04-10,06,77,20,20,70,84.0,1767.0,1380.0,1380,14.0,3.0,1363.0,5,41.0,283.0,11.0,79.0,53.0,694.0,34.0,110.0,26,18.0,9.0,48.868277015743374,2.3834583713691995
15-37,Présidentielle,2022,1,2022-04-10,12,58,15,15,37,87.0,1600.0,1322.0,1322,12.0,0.0,1310.0,9,17.0,579.0,10.0,78.0,133.0,234.0,31.0,92.0,111,6.0,10.0,48.83979760766579,2.3124102289942683
14-18,Présidentielle,2022,1,2022-04-10,11,56,14,14,18,69.0,1638.0,1285.0,1285,17.0,5.0,1263.0,7,27.0,388.0,24.0,79.0,73.0,427.0,41.0,110.0,61,7.0,19.0,48.83349116119612,2.323518624815653
5-20,Présidentielle,2022,1,2022-04-10,02,18,05,05,20,71.0,1491.0,1192.0,1192,17.0,5.0,1170.0,1,20.0,383.0,14.0,64.0,111.0,333.0,35.0,107.0,88,7.0,7.0,48.843668694063595,2.3604887578804368
19-68,Présidentielle,2022,1,2022-04-10,17,73,19,19,68,36.0,1641.0,1142.0,1149,19.0,6.0,1124.0,5,26.0,288.0,8.0,58.0,97.0,504.0,24.0,64.0,36,6.0,8.0,48.89115150962272,2.3733422891661746
17-23,Présidentielle,2022,1,2022-04-10,03,68,17,17,23,29.0,1433.0,961.0,961,19.0,4.0,938.0,2,19.0,175.0,9.0,101.0,47.0,500.0,19.0,23.0,32,1.0,10.0,48.89922849828981,2.3270446428770777
11-26,Présidentielle,2022,1,2022-04-10,07,42,11,11,26,90.0,1771.0,1416.0,1415,15.0,2.0,1398.0,6,26.0,502.0,11.0,58.0,73.0,443.0,44.0,146.0,74,5.0,10.0,48.86133945415156,2.376289512608826
16-62,Présidentielle,2022,1,2022-04-10,04,64,16,16,62,77.0,1523.0,1230.0,1233,12.0,0.0,1221.0,1,5.0,565.0,13.0,80.0,241.0,115.0,7.0,26.0,153,2.0,13.0,48.86818281843465,2.2883452606850496
20-67,Présidentielle,2022,1,2022-04-10,06,79,20,20,67,67.0,1368.0,1081.0,1081,11.0,2.0,1068.0,6,29.0,258.0,11.0,62.0,36.0,521.0,23.0,82.0,22,9.0,9.0,48.868208527822844,2.3928848756565624
14-31,Présidentielle,2022,1,2022-04-10,11,53,14,14,31,100.0,1461.0,1239.0,1240,11.0,1.0,1228.0,1,20.0,569.0,17.0,36.0,84.0,246.0,25.0,126.0,89,5.0,10.0,48.8394119103783,2.333082602036967
17-8,Présidentielle,2022,1,2022-04-10,03,67,17,17,8,81.0,1527.0,1278.0,1278,7.0,6.0,1265.0,4,10.0,619.0,10.0,57.0,92.0,208.0,26.0,120.0,107,1.0,11.0,48.887854569318556,2.3196839614031504
1-10,Présidentielle,2022,1,2022-04-10,01,04,01,01,10,48.0,874.0,675.0,675,1.0,1.0,673.0,0,1.0,355.0,5.0,40.0,78.0,87.0,11.0,37.0,52,0.0,7.0,48.86725534153516,2.327655007155463
10-37,Présidentielle,2022,1,2022-04-10,05,38,10,10,37,74.0,1331.0,1072.0,1069,6.0,5.0,1058.0,0,25.0,390.0,13.0,41.0,53.0,344.0,32.0,110.0,36,6.0,8.0,48.87286667411503,2.3509573485217046
19-60,Présidentielle,2022,1,2022-04-10,17,73,19,19,60,82.0,1703.0,1243.0,1243,12.0,2.0,1229.0,2,25.0,275.0,12.0,61.0,76.0,574.0,32.0,120.0,36,10.0,6.0,48.88261786518081,2.3734019004887013
